No,Komentar,Label
39,"Risma fans Indonesia,dukung penuh ibu Risma dengan ikhlas menyumbang pajak dll,  untuk orang2 tidak mampu,korban  bencana alam  insyaallah beliau amanah.selamat bekerja Bu Risma",p
40,selamat untuk 6 orang semoga Amanah. SELAMAT BERJIHAD untuk Bangsa Negara🇮🇩 yg kita cintai,p
41,"BONEK DAN SELURUH WARGA SURABAYA BANGGA DENGAN BU RISMA, 

TERIMAKASIH MEMBUAT SURABAYA SANGAT INDAH, WE LOVE YOU <3

SUKSES DAN SEMANGAT MEMBANTU INDONESIA LEBIH BAIK :*",p
42,Baca komen² fokus ke bu risma semua ... Doakan semua nya semua semoga mereka semua bisa mengemban tugas negara dengan baik bijak jujur dan amanah.Aamiin,p
43,Liat Bu Risma jadi Mentri sosial bangga bgttt,p
44,Menteri agamanya tengil ya🤣,n
45,"Bu risma iloveyou!! Selamat mengemban tugas, semoga amanah",p
46,"Barakallah... semoga menteri baru dan lama sama2 amanah... 

Menjadikan indonesia lebih baik",p
47,Semoga penerus bangsa dalam lindungan allah swt amin,p
48,"Alhamdulillah Bu Risma , bapak Sandi dan juga menteri yg lain , semoga bisa menjalankan tugas dengan amanah , amiin",p
49,"Ada yg mendidih tapi bukan air 🤣🤣🤣


👇",p
50,"Saya lihat bu risma bahagia sekali,slmat bertugas bu,semoga sll amanah",p
51,Semangat untuk Indonesia maju.... D ping president kita jd ilah walil rakyat yg jujur Dan amanah.,p
52,"Selamat bertugas kpd 5 mentri kecuali yg satu.
Ga' ada lagi yg lain apa
selain yacult pak.",n
53,Mntaf bu risma.. Semogga  fdi ridhoi allah swt,p
54,"Bu Risma orang baik, selamat ya Bu dan hati"" banyak fitnah",p
55,"smoga yg niat korupsi  membatal kan niatnya

dan ...yg baru jgn korupsi",p
56,Semoga Indonesia semakin baik. Makmur dan sejahtera. Amin.,p
57,"Aku doakan semoga ditangan mentri"" baru ini rakyat Indonesia menjadi sejarahtera",p
58,Sebagai warga surabaya saya merinding dan bangga,p
59,"Selamat bu risma,  semoga allah selalu bersama ibu. 
Aamin ya robbal alamin",p
60,"Slamat ya Bu Dek Risma,,,semanga...",p
61,ayo bu Risma semangat.... semoga amanah bu risma..... Semoga indonesia tambah maju,p
62,bu risma idola saya alhamdulillah orang amanah yg di tunjuk mimpin kementrian sosial  aminnn ya allah,p
63,Semoga mereka semua mmbawa bangsa Indonesia lebih baik lagi,p
64,insya allah ditangan bu risma kemensos akan bersih dari korupsi,p
65,"Walikota terbaik, kota Surabaya menjadi Mensos. Wess mantapp",p
66,Semoga z pergantian Mentri bs membawa Indonesia maju'' yg amanah berwibawa,p
67,"Ini contoh pemimpin yg baik, musuh politik dirangkul dijadikan teman, demi membangun bangsa dan negara...salut",p
68,"Semoga amanah,,, tidak makan hak rakyat.",p
69,Alhhamdulillah ya allah ema gua jadi mentri mesos.semo ema risma di berikan umur panjang.dan amanh.aminnn ya rob,p
70,"Selamat Bapa Sandiaga Uno semoga Amanah,, sehat selalu",p
71,"Kenapa 2019 ada pemilu ya, mana sengit banget lagi kampanyenya.",n
72,"Semoga membawa perubahan yang lebih baik pak bu, aamiin ❤️🙏😇",p
73,"Semoga AMANAH ...PATRIOT NEGERI ku""",p
74,"Ya Allah semuga Indonesia semakin maju, Amiin dan damai selalu",p
75,"Ganti terus tiep  bln..tp ga brubah2 
Malah makin kucar kacir rakyat.",n
76,"Semoga sandiaga uno bisa kerja ya..sbb oke oce aja kn gak jlan.
Alhamdulillah Bu Risma kepilih jdi Mensos selamat bkerja ya Bu..",p
77,"gus yaqut,bu risma,sandi uno 🔥🔥",p
78,Alhamdulillah.. Bu risma terpanggil juga untuk menjadi mentri.. Sepak terjangmu kami nantikan bu😊,p
79,"Bu risma yg dipilih aku yg terharu ,, semangat buuu",p
80,Menteri agamanya kurang Pas ga sesuai d bidangnya.,n
81,"Amanah rakyat adalah amanah rakyat indonesia, semoga para menteri bisa mengemban dengan baik",p
82,Mantap bu risma akhirnya ke jakarta juga jadi menteri ..saya turut bangga ..saya orang Pare Kediri👍👍🙏🙏,p
83,"Bu Risma, BLT jgn sasaran lagi.",p
84,Bekerjalah secara PROFESIONAL demi Indonesia Maju ... Amien,p
85,Selamat beketja Bu Risma...semoga semua ttp Amanah..,p
86,"Ibu Risma jagoan saya,, ia orang mulia, selamat y bun,",p
87,"Bismillahirrahmanirrahim 
Semoga Amanah. Aamiin",p
88,"Walaikumslm wrb,,amiin ya allah smga negara indonesia tmbah maju bs lebih damai tentram dan sll dlm lindungan allah swt amiin,,🤲🇮🇩",p
89,"mudah""an bu Risma bisa mengawasi bansos pemerintah yg disalurkan ke pemprop DKI.",p
90,"Jangan"" pidatonya tegas meyakinkan, ternyata kerjanya mengecewakan",n
91,Semua OPOSISI sudah ada di KUBU PENGUASA Heheeee,n
92,"Alkhamdulillahirrobbil'alamin, MashaAlloh, BarokAlloh Congratulation Ibu Risma atas amanah menjadi Menteri Sosial yang diemban semoga bermanfaat berkah selalu untuk semuanya. Amin ya rabbal'alamin Ya Alloh SWT",p
93,Alhamdulillah ya Allah semoga beliau lbh amanah lagi n selalu memperhatikan rakyat kecil 🤲🤲🤲🤲👍👍👍,p
94,"Selamat Pak Trenggono,, semkba amanah sebagai menteri KKP yg baru",p
95,"ALHAMDULILLAAH BU RISMA YG JADI MENTERI, AKU MASIH BISA KORUPSI SEPUASNYA... MASIH SATU KOLAM KITA BU CANTIQU",p
96,"Good, ibu Risma jadi menteri sosial",p
97,bu risma yang kuat ya.tugas dan tekanan sbg menteri sosial pasti berat bgt. sukses selalu bu. 🥰,p
98,"Insyaallah Amanah,Aamiin🤲",p
99,Wah Mantap lah Semoga amanah ya buat menteri yg baru 🙏🙏🙏🙏🙏,p
100,"BRAVO bu risma🙏alkhamdulillah, semoga sehat slalu.",p
101,"Bu RISMA Naik pangkat rekkk..
Go nasional saiki, semoga bisa menjalankan tugasnya dengan baik..
Ojo lali bancaane",p
102,selamat atas semuanya di pilihnya mentri 2 baru yg sdh di tujuk semoga beramanah dan lebih baik kedepanyan sama2 bangun indonesia lebih baik Amin,p
103,"Intinya hrus bner"" yg bisa krja",p
104,"Akhirnyaaaaaaa
Emak ku .......
Semoga Allah Swt merahmati dan meridhoi setiap langkah  emak.
Sehat selalu sukses selalu.aamiin",p
105,Kalau jadi mentri jangan marah-marah ya Bu Risma ...,p
106,I love bu risma.. MasyaaAllahh semoga amanah ya bu,p
107,Mak q rek alhamdulillah Yaa Allah menjadi Menteri SOSIAL,p
108,"Mantap, semoga beliau beliau akan mengemban tanggungjawab ini dengan amanah",p
109,"Burisma jejaknya mirip mirip Bu Khofifah,..insyaAllah usai jadi Mentri jadi Gubernur, siapa tahu jadi DKI 1,🙏🙏",p
110,Alhamdulillah bu risma dan pak sandiaga 🙏,p
111,"Directur bang jdi
menteri Kesehtan😂😂",p
112,Semoga Amanah 🙏🏻,p
113,"Kasian gw sama yg ""nyiyir"" kmrn.... gw yakin mereka kenak ""Double Attack""! Duh... Damage nya SAKIT & PERIH LAGI! ampe Armor pada rontok.... :'(",n
114,Semoga amanah dan selalu ingat Alloh . Amiin..,p
115,Semoga amanah memegang jabatan nya,p
116,Smg AMANAH amiin yRabb🤲🇮🇩🇮🇩,p
117,"SMG semua berhasil memperbaiki Indonesia...
Jgn buli Bulian Krn beda partai atau politik...",p
118,"Alhamdulillah bu risma jadi mensos
Tapi kenapa bu susi gak jadi menkp lagi 😭",p
119,"GBU Bu Risma... semangat buuu, berharap bu susi come back wkwkkw",p
120,"Ya Allah.. B.Risma jadi mentri bener... Hebat lepas dr wali kora Surabaya langsung naik jabatan mentri, smoga amanah Bu",p
121,Sektor sosial sektor tersibuk semasa pandemi. Dan org yg tepat ya bu Risma. Smoga beliau sehat slalu,p
122,"Selamat untuk smua,  harapan rakyat smoga amanah.",p
123,Subhanallah..lindungi la kami dri serangan negara api😁,p
124,SEMOGA AMANAH....DAN SELALU MEMDAPATKAN PETUNJUK DARI ALLOH SWT. AMIIIN,p
125,Alhamdulillah Bu Risma jadi Mensos..,p
126,Bu Risma❤️❤️❤️❤️,p
127,Saya Suka Seragam Jaketnya 😍😍 Selamat Atas Para menteri² Hebat,p
128,"cuman sreg sama 2 menteri aja, bu risma sama pak sandi, yg lain kok kayaknya bukan ahli d tempatnya.",p
129,Slmt kpd Menteri* yg Baru.Dlm Kabinet INDONESIA  MAJU..SMG AMANAH DEMI NKRI . AAMIIN 🙏🙏🙏,p
130,"Good luck too para mentri,,moga amanah dalam mengemban tugas x negara,,",p
131,"selamat ya bunda Risma, berlian dimana pun tetap berlian !",p
132,"Semoga semuanya amanah, tidak ada lagi yg korupsi",p
133,"Semangat ya bu, lawan tikus"" yang ingin mengusai lumbung.. Dan jangan sampai ibu menjadi salah satu tikus tersebut seperti yang sudah sudah... Good Luck",p
134,Kemensos memerlukan sosok Bu Risma.. smoga beliau sekeluarga sehat selalu... Dan smoga ikhlas memberikan baktinya pd negara Nusa dan bangsa yg tercinta🙏🙏🙏,p
135,"BU RISMA ORG PDI , YG KORUPTOR ORG PDI , AMBYAAR REK 🤣",n
136,Selamat datang menteri-menteri baru kita semoga bertanggung jawab.. bebas korupsi untuk Indonesia maju,p
137,"Selamat untuk Ibu RISMA ,salah satu putri terbaik yg Indonesia miliki, selamat bekerja Bu👍❤️",p
138,"selamat buat Bu Risma , saya orang Surabaya bangga ibu jadi mentri Sosial. 💪🤗",p
139,Yeee... Bu risma... Smoga para menteri bru bs mngemban amanah dg baik demi indonesia maju..,p
140,"Prediksi Bung Deny Siregar bener
Bu Risma sebagai Mentri Sosial
💪",p
141,"KEPADA BU RISMA YTH🙏,
BU RISMA MINTA TOLONG TAMPOLIN MUKANYA MENSOS YG DULU PAKE SEPATU HIGH HILL SAMPE RATA MUKANYA..🙏😎,",n
142,Kenapa pak Terawan mundur?.,n
143,"Mantap Bu Risma, Semoga Succes & amanah",p
144,Selamat untuk Bu Risma dan Pak sandi Uno. Semoga amanah👍🏻,p
145,"😭😭😭😭😭😭
Supmpah terharu...akhirnya....bu Risma...menjadi mensos...👏👏👏",p
146,Selamat ibu dan bpk. Tolong jaga aman. Jgn tergiur untk korupsi.,p
147,Alhamdulillah semoga semuanya amanah,p
148,"Allhamdulilah, sangat setuju..
Ibu.Risma n Bpk.Sandiago uno..
Semoga bs jd pemimpin yg amanah..
Bravo, Allahu Akbar..",p
149,"Terharu sekali bu risma
Hati"" bu pasti akan banyak tekanan",p
150,Wan abud gk diangkat lagi pak ? 😂,n
151,"Mantap
Basmi semua yg korupsi"" buk risma",p
152,Siapa yg kangen sama bu susi like,p
153,Nah Lo bu risma.... Dukung bu risma brantas korupsi 😎❤🇲🇨❤🇲🇨,p
154,"Selamat bertugas buat semua menteri baru, semoga amanah. Aku berharap dengan Sandiago uno & Muhammad luthfi.",p
155,"Semakin susah mengingat nama2 Mentri,.dlu jaman SD bisa menghafal A sampai Z,.sekarang😭😭😭.,",p
156,"Perempuan bintang kejora,, ibu Risma selalulah terangi di mana tempat ibu bernaung dan mengabdi diri,,",p
157,"Kapan ya menteri pendidikannya bang Jerome, hehe",p
158,"Semoga dg adanya prgantian mentri, bngsa indinesia mnjdi maju, aman dn tentram. Dn smg mngedepnkb kbnaran dan keadilan.",p
159,Kiraiin ada Ahok🤣🤣🤣😂😂😂,n
160,"RISIK ( HR) GAK MASUK YA..., KLO DIA MASUK COCOKNYA MENTERI APA YA...?",n
161,Hahahaha 😂🤣🤣🤣🤣🤣,n
162,"Wadau pak Terawan di kick dari grub wa. 
😂",n
163,Semoga p. Sandi dan bu Risma bisa memegang amanah dgn baik. Aamiin Yaa Robbal Alamiin..,p
164,Saya yakin sama Bu Risma... yang lainnya belum.... apalagi Sandiga Uno... mang tau yang ginian...,p
165,Mantep semoga Indonesia semakin maju,p
166,"Selamat atas tugas barunya bu risma, Sukses selalu.",p
167,"Dengar nm bu risma aq lgsung Mewek...😭😭 
Bhgia dan trharu...🥰🥰",p
168,"selain Bu Risma, Selamat juga buat bang Sandy  ..  semoga memberikan baktinya pd negara Nusa dan bangsa  Amin 🙏",p
169,Bu Risma ada.. Alhmdulillah dan pak sandi,p
170,"Selamat bu Risma,,smoga sehat selalu, amanah dan sukses 🙏",p
171,"Dengan jabatan baru ibu makin amanah,semoga bangsa kita makin sejahtera",p
172,"Alhamdulillah,,,
Semoga berkerja sama memajukan indonesia, berkerja dgn ikhlas !!  ingat jgn  koropsi uang itu haram !! Uang rakyat, kasihan rakyat, malulah dgn rakyat !!",p
173,"mantttap ibu n selamat ibu, semoga ber tanggung jawab n Amanah",p
174,"Bu Risma adalah bukti, wanita bisa memimpin. Maju terus wanita Indonesia. Semoga semua para menteri baru dapat amanah.👍🏻",p
175,"Mantab Bu Risma sehat selalu..
Keren pak Sandi juga masuk. Apa kabar sobat yg dulu buat Formula E ya..😂😂😂",p
176,"si irma chaniago baper tuh pakdhe, kok kagak ikutan di angkat jadi menteri toh..
piyee pakdhe iki.??? 🤣🤣",n
177,Alhamdulillah Barokallah Ibu Risma Terpilih Sebagai MENSOS Mudah Mudahan Bisa Sapu Bersih Di Tubuh Kemensos Aamiin YRA,p
178,Ya Allah lindungilah bangsa dan tanah air ku Indonesia dan lindungilah mereka yg sedang  mengemban  tugas Amiin semoga aman dan damai Amiin ya Allah,p
179,"Mentri nya makin mantap...
Ksampean juga bu risma jadi Mensos..yg kaget sandi uno ma kpla gp Ansor..wowww bgt",p
180,"Speechless 🤝selamat2 menjalani amanah bu risma dan pak sandi, semoga Indonesia lebih sejahtera👌",p
181,Semoga amanah 🙏,p
182,"Bu risma jd mensos, ambyar dah yg korupsi",p
183,Pas bgt tuh bu risma jd mentri sosial. Sosial bgt orang nya.,p
184,Allhamdulillah akhirnya bu risma menjadi mensos .....,p
185,"I love u indonesia.
Semoga kedepannya tambah maju dan lebih baik.
Aamiiin",p
186,"Semoga Amanah Bapak / Ibu , Amin 🙏🙏🙏",p
187,"Semoga bangsa ini menjadi lebih baik Aamiin,,",p
188,Aku padamu Bu Risma.. bismillah semoga ada perubahan yang jauh lebih baik.. amien,p
189,Yang paling Top IBU Risma ....Tapi yang lain juga Top cuma belum viral,p
190,"Selamat bertugas dan sukses selalu Bapak Ibu
sebagai menteri yg baru
sukses selalu menjalankan
tugas untuk rakyat,bangsa",p
191,Selamat ibu Risma!! Dan selamat bertugas!,p
192,"Sangat tepat dan bijak . Selamat buat buu RISMA DAN BPK UNO 

bravo Indonesia maju",p
193,"Semoga bu Risma sehat terus, karena s/d ke depan saya yakin pasti bu Risma layak dan masih sangat dibutuhkan untuk memanage banyak hal di ring 1",p
194,"Kok trs resafle ae trus,, wes ta lah,, yg penting jujur g pembohong ap janji2 nya terpenui,, INSA ALLOH yakin barokah g ad kerusakan didunia ini, percayalah,,,,",n
195,"Kira td buk Susi jg menteri KKP
Tp gak pa la ,kita lihat ja gebrakan boak sakti Trenggono",n
196,"semoga mentri kesehatan, bekerja dengan baik , menyelesaikan wabah covid - 19",p
197,"Allahuakbar 2.... Alhamdulillah Bu Rismaharini jadi Mensos, mdah2an Amanah, Barakallah Sllu 🙏👏🤲🤲🤲. Amiiiiiinnnn.",p
198,Mantap jiwa ibu Risma ❤️,p
199,"Selamat buat putra putri terbaik indonesia yg terpilih jd mentri, aku banga",p
200,"Wow,semoga Mentri nya bekerja lebih baik dari sebelumnya,dan tidak korupsi",p
201,Bu Rismaaaàa.. i adoree.. me amourrr,p
202,semoga semua bisa menjalankan tugas dengan baik dan AMANAH.,p
203,YA ALLAH KENAPA SEENAKNYA BEGINI. JATUH TERSIMPUH TAMPA TONGKAT.,n
204,"Pas banget dg karakter beliau bu risma,,yg selalu mengedepankan kepentingan orang banyak..
Sukses selalu ya buu..",p
205,"Waktunya Bu Risma Bersih².... Di Kementrian Sosial..😆😆😆

Yassalam",p
206,"Dari semua menteri hanya 1 yg saya nilai salah, yaitu no 4",n
207,"slmt b.risma menjadi menteri sosial
mdh2 an amanah bs membongkar tikus2 d kementrian sosial",p
208,Ibu Risma❤️kinerja dan performanya 👍,p
209,"Mantap Ibu Risma dan Sandiaga Uno, PAS ramalan saya, semoga Amanah dan selalu dalam LindunganNYA, Amin",p
210,Selamat bunda Risma👍👍 bundaa kebanggan ❤️,p
211,"Hormat Bu risma d bangsa Indonesia, demi NKRI HARGA MATI",p
212,AKU SURABAYA AKU BANGGA DENGAN BU RISMA :),p
213,Selamat ibu risma h ibu jadi pemimpin sangan amanah saya dari surabaya warga jkt sekali lagi selamat y bu,p
214,Alhamdulillah MENANG udah kembali ke HABITATNYA.,p
215,"Ibuku reeekkk dadi mensos.😀😀😀
Smoga tetep amanah ngeh bu..
SALAM 1 NYALI..
WANI",p
216,Yakin menkes bkn dari profesional kesehatan? Ya semoga lbh baik,n
217,"Semoga Amanah... Para wakil rakyat,...",p
218,"Semoga memegang jabatan dengan amanah dan berhati nurani,,, agar tidak menambah luka rakyat dan kecewa....",p
219,Semoga para menteri-menteri tidak ada yang korupsi,p
220,"Alhamdulillah ya Allah...
Ibukku jadi mensos
Tangis haru dan doaku slalu utkmu bu risma",p
221,Mau darimanapun partainya. Semoga amanah ya jadi menteri dan terhindar dari proyek yang menjerumus ke dosa korupsi.,p
222,Semoga yg d beri jabatan Amanah dan lebih baik lagi....indonesia damai dan makmur...,p
223,Bu rismaa i love you ❤️,p
224,"Selamat Bu Risma atas terpilihnya menjadi MENSOS, semoga bisa bersihin TIKUS BERDASINYA🎉👍",p
225,"Mantap bu risma, baru ini dalam sejarah dari walikota langsung menjadi menteri. Sukses selalu bu risma.",p
226,😂😂😂😂😂 egk rugi dlu di pilih skrang jadi Mentri.wkwkwkwkwkw,n
227,"Siapa pun menteri nya, 
Opung luhut tetap perdana menteri nya",n
228,Alhamdulillah ya Allah.. 😇,p
229,"Setuju banget, bu Risma dan pak Sandiaga,

Smoga indonesia makin maju",p
230,Bissmillah,p
231,Mensos pavorit 👍👍👍,p
232,SELAMAT  bu risma dan bang sandi semoga  bu risma dan bang sandi sllu amanah mngemban  tugas dn sllu d lindungi  alloh swt is 🤲,p
233,"Selamat Bu Risma jadi Mensos semoga amanah ,, amin 👍",p
234,"Wah bu Risma...anti korup2 club.mantap lah,jabatannya berlanjut.amanah terus Bu!!sy dr Sby bangga padamu!!",p
235,Toh akhirnya tiba jg masanya bagi² kue kekuasaan.. sandi uno ditarik dalam lingkaran istana setelah sebelumnya prabowo.. 😁😁,p
236,"SelAmat buat para menteri yg baru..semoga allah swt membimbing para menteri yg baru.menjalankan amanah dgn benar..selamat bekerja .jadikan indonesia  madju ditanganmu
.kami rakyat selalu mendukungmu.merdekaasaaaaaaaasaaaaAA.",p
237,Selamat Bu Risma..semoga engkau amanah ...Aamiin,p
238,"Selamat bang sandi, walaupun masa pilpres kemarin saya tidak searah dengan beliau, namun saya yakin anda salah satu putra Indonesia terbaik, selamat bekerja dan menjaga amanah rakyat.",p
239,Selamat Bu Risma Semoga bisa menjalankan tugasnya dengan baik. Ye papa online jadi mentri (Sandiaga Salahuddin Uno),p
240,Bu Risma 😊😊😊❤️,p
241,"Selamat Ibu Risma..
Wanita Hebatnya Indonesia.
Akhirnya menjadi Menteri.
Semoga membawa perubahan besar untuk Indonesia.",p
242,Maju bu risma ...semoga allah selalu melindungi bu risma ...,p
243,👍,n
244,👍,n
245,"Ibuku.. Jasamu tdk akan terlupakan oleh warga sby.  Selamat atas jabatan yg baru,  semoga sukses dan sll dlm ridhonya allah..  I lope pyu puullll",p
246,Mdh2n smua mntri 2 yg bru bs mmgang amnh amin,p
247,Selamat Bu Risma ❤️❤️❤️ semoga bisa selalu amanah ...Aaamiin🙏🙏,p
248,Semakin mantap ini,p
249,"Burisma biasanya lihat dikantor, sekarang jadi menteri. Manut bu 😄😄✌",p
250,"Bu risma semangat buk..😍😍
Banyak orang yg mendoakan ibuk..",p
251,Pilihan dan penempatan yg sangat tepat. Smoga amanah dan sukses indonesia maju,p
252,"Smg Indonesia semakin maju, dan rakyatnya semakin cerdas2, dan gak gampang di adu domba🙏",p
253,Proyek wee rampung lg diganti😂😂,n
254,Smg indonesia makin maju dgn ada nya reshuffle ini,p
255,Terlalu kalau bu Risma tidak diangkat.,n
256,"Dan akhirnya,,, Prabowo sandi jadi mentri 😊😊
Luar biasa..",p
257,Salam Hormat Gus Yaqut....,p
258,Alhamdulillah ya Allah bu risma jadi mentri sosial👍👍👍,p
259,"selamat bertugas, org2 Hebat Indonesia. majulah Indonesiaku.",p
260,"Sayang sekali menkes diganti, padahal beliau pintar diganti yg kurang kompeten di bidang kesehatan.
Salah menkes apa?",n
261,Bismillah semoga Allah SWT memberikan kesehatan selalu untuk ibu Risma Harini sukses selalu 👍,p
262,"Pak sandi agak kurus, pucat, lemes 😁😁😁😁,semangat pak sandi,,kayao,,",p
263,Smoga pandemi covid cepat berlalu dan indonesia makin maju dan cemerlang,p
264,Kami tunggu kerja bu Risma...Semangat...,p
265,selamat kepada Menteri baru. Pas Sekali.,p
266,"Menkes baru punya tanggung jawab yg sgt besar, distribusi vaksin.",p
267,SEMANGAT JAYA RAHAYU TNI POLRI NKRI n BPK Ir JOKO WIDODO.....,p
268,Semoga akan lebih baik dari sebelum sebelum nya..,p
269,Bang bango semoga amanah y,p
270,Yg tak tunggu menkes.. Alhamdulillah smg mnjd lebih baik dan kondusif,p
271,"sebenernya masih ada beberapa menteri yg perlu diganti,tapi asudahlah..",n
272,Ibu Risma hebat... Tepat sekali untuk menjabat Menteri Sosial... Sehat selalu Bu ❤,p
273,Selamat dan succes bapak ibu semoga amanah....,p
274,Bu susi kemanaa 😭,n
275,Mazhab saya sekeluarga turun temurun Syafi'i tapi tidak ikut ormas apapun....,n
276,"Selamat buat bpk. Sandiaga Uno.... Muda, pinter, tajir abis... Semoga sukses sehat dan ttp istiqomah",p
277,Selamat.....semoga amanah dan tidak korupsi👍🙏❤️🇲🇨,p
278,Selamat bertugas untuk para menteri yg baru. Semoga mencipta perubahan dan kemajuan untuk bangsa tercinta.,p
279,"Menag yg lama supya fokus bisnis tambangnya, jadi Menag bikin pusing urusan yg gak dikuasai. Yaqut ditunggu aksi bela Pancasila nya",n
280,"Ya allah jauhkan negeriku dari koruptor.....
👍👍👍👍👍👍👍👍👍",p
281,Lah itu mentri keesehatan biasa ngitung duet di bank apa nt tahu kalo ngitung peyakit,n
282,"Kendati secercah harapan telah pudar, selaksa harap masih menadah. Semoga menteri KKP tindakan dan kebijakannya tidak jauh berbeda dengan Bu Susi.",p
283,"SIAPAPUN MENTRINYA, SAYA BERHARAP, AMANAH DI UTAMAKAN, DAN YANG TERPILIH ADALAH WAKIL DARI KAMI RAKYAT INDONESIA, BERGANTINYA MENTRI SEMOGA KEBERKAHAN MENYERTAI, 🤲🤲🤲🇮🇩💪🇮🇩❤️",p
284,👍👍👍,n
285,Semangat bang sandi..,p
286,Selamat bpk trenggono semoga amanah,p
287,"Semoga selalu amanah mengemban tugas sebagai Mentri Indonesia maju
Aamiin yaa robbal Aalamiin",p
288,"Ayooo Pak Sandiaga, bawa IHSG terbangggggg ✈️✈️✈️",p
289,"Saya yakin  pemerintahan tdk berjalan dengan baik walau meteri nya di resafel, kalau keadilan. dan kesejahteraan tdk di perbaiki.",n
290,"Bismillah, smoga meteri2 yang baru slalu d jaga iman dan amanah nya, dan d beri kelancaran, kemajuan dalam menjalankan tugas2nya.. Aamiin",p
291,"Kurang satu mentrinya pak,kl butuh mentri nyinyir tlg fadli di masukan.
Kan ga perlu beli jaket biru lagi.",n
292,"Penjabat silh berganti, rakyat mati di lumbung padi, seorang ibu tega membunuh anaknya karena hipitan ekonomi",n
293,"selesai bertarung dlm PilPres, pemenang pemilu merangkul yg kalah pemilu utk bersama bahu-membahu membangun negeri demi masa depan bangsa, berjaya lah NKRI...🤗🇮🇩",p
294,"Siapapun yg terpilih smg bekerja dg penuh dedikasi dan integritas.
Walaupun sy tadinya berharap bu susi kembali jd mentri KKP he...",p
